Site Id,Sub Region,Region,Beginning,Days Passed,Aging,Alarm,ES POC,SMS POC,History | Issue,Summarize,Domain,
ES2-SUI-02705,Sui,Jacob Abad,2-Jul-22,1221,180+ Days,Rectifier,Abdul Waheed,Saif ul Islam,,,,
ES2-SUI-02178,Sui,Jacob Abad,17-Jun-23,871,180+ Days,Rectifier,Abdul Waheed,Saif ul Islam,,,,
ES2-SDK-07210,ShahdadKot,Larkana,6-Nov-23,729,180+ Days,Rectifier,Mohsin Ali,Nadeem Ali,,,,
ES2-SDK-06731,ShahdadKot,Larkana,2-Jan-24,673,180+ Days,Rectifier,Mohsin Ali,Nadeem Ali,,,,
ES2-SUK-01534,Sukkur,Sukkur,27-Feb-24,616,180+ Days,Rectifier,Shahid Ahmed,Abdul Rasool,,,,
ES2-SBP-02076,Dera Allahyar,Jacob Abad,13-Jun-24,509,180+ Days,Rectifier,Abdul Waheed,Saif ul Islam,,,,
ES2-LKN-05540,Larkana - 2,Larkana,20-Nov-24,349,180+ Days,Rectifier,Mohsin Ali,Nadeem Ali,,,,
EUS-QSK-04682,Qambar,Larkana,22-Nov-24,348,180+ Days,Rectifier,Mohsin Ali,Nadeem Ali,,,,
ES2-SPR-03563,Shikarpur,Jacob Abad,19-Dec-24,321,180+ Days,Rectifier,Abdul Waheed,Saif ul Islam,,,,
ES2-KKO-05047,Sui,Jacob Abad,28-Dec-24,311,180+ Days,Rectifier,Abdul Waheed,Saif ul Islam,,,,
ES2-SUI-06938,Sui,Jacob Abad,1-Jan-25,307,180+ Days,Rectifier,Abdul Waheed,Saif ul Islam,,,,
ES2-JMG-04568,Dera Allahyar,Jacob Abad,6-May-25,182,180+ Days,Rectifier,Abdul Waheed,Saif ul Islam,,,,
ES2-LKN-05706,Larkana - 2,Larkana,28-May-25,161,100+ Days,Rectifier,Mohsin Ali,Nadeem Ali,,,,
EUS-QSK-04661,Ranipur,Sukkur,20-Jul-25,108,100+ Days,Rectifier,Shahid Ahmed,Abdul Rasool,,,,
